"code","interface","interfaceorder","completionthreequizzes","completionall","test1","test2","q1date","q1time","q1progress","q2date","q2time","q2progress","q3date","q3time","q3progress","finaldate","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17"
"N-second-first-third-ce0225db-882b-4afa-a3ce-a789efe38355","N","second-first-third","","","20","100","2021-04-25-19:48:36","3:29","90","","","","","","","","","","","","","","","","","","","","","","","",""
"M-third-second-first-450f83cb-ed05-40cb-99fd-d2fa4fdd6699","M","third-second-first","Yes","Yes","25","40","2021-04-25-19:43:48","6:38","10","2021-04-25-19:47:33","3:29","70","2021-04-25-19:48:29","9:17","40","2021-04-25-19:52:08","1","3","1","1","4","3","4","2","2","1","3","4","4","3","Male","18–24","Yes, I am currently a smartwatch user"
"D-first-second-third-145f66db-8fb2-4dbb-a4a2-316f19bc167b","D","first-second-third","Yes","Yes","20","140","2021-04-25-19:51:52","9:17","20","2021-04-25-19:54:28","3:29","60","2021-04-25-19:55:05","6:38","110","2021-04-25-19:56:11","3","1","1","2","2","3","4","2","2","1","2","1","1","3","Male","18–24","Yes, I am currently a smartwatch user"
"Q-second-first-third-bed0f853-d42c-48c1-bc46-72fe0c9591e8","Q","second-first-third","Yes","Yes","20","140","2021-04-25-19:44:26","3:29","60","2021-04-25-19:48:55","9:17","20","2021-04-25-19:51:18","6:38","100","2021-04-25-19:56:24","4","5","4","5","3","2","1","3","3","1","4","4","5","5","Male","25–34","Yes, I used to be a smartwatch user"
"D-third-second-first-104962f0-fc1d-4eee-84bf-2687058fefce","D","third-second-first","Yes","Yes","20","140","2021-04-25-19:50:12","6:36","20","2021-04-25-19:54:37","3:29","140","2021-04-25-19:55:31","9:17","40","2021-04-25-19:56:50","2","2","2","2","2","4","4","4","2","1","4","4","4","4","Male","25–34","Yes, I used to be a smartwatch user"
"G-second-first-third-955f3193-1204-4fe8-b5b2-cd3dce22fd91","G","second-first-third","Yes","","25","50","2021-04-25-19:41:28","3:50","90","2021-04-25-20:03:11","2:5","90","2021-04-25-20:06:21","6:38","90","","","","","","","","","","","","","","","","","",""
"K-second-first-third-3d271348-349d-49af-9018-f32ac1bebce2","K","second-first-third","Yes","Yes","35","145","2021-04-25-19:56:04","3:10","60","2021-04-25-20:11:48","9:10","60","2021-04-25-20:13:54","6:38","20","2021-04-25-20:15:36","3","4","4","4","4","2","2","4","4","1","4","4","4","4","Male","35–44","Yes, I am currently a smartwatch user"
"M-first-third-second-e6491250-bbf7-4ab7-af89-415f85a3f984","M","first-third-second","Yes","Yes","20","140","2021-04-25-20:00:04","9:17","30","2021-04-25-20:07:07","6:38","0","2021-04-25-20:08:27","6:38","10","2021-04-25-20:12:04","1","2","2","1","2","4","3","2","1","1","2","2","3","2","Male","25–34","No, I have never used smartwatch before"
"I-first-third-second-eca87445-2d93-4e5c-a0f9-88e98257248b","I","first-third-second","Yes","Yes","12","145","2021-04-25-20:10:09","9:17","20","2021-04-25-20:12:14","6:38","14","2021-04-25-20:13:06","3:28","75","2021-04-25-20:13:42","4","4","4","4","4","1","1","4","4","1","5","4","4","4","Male","25–34","No, I have never used smartwatch before"
"B-first-second-third-1b0b780e-7df8-4696-8458-1ec68c75516c","B","first-second-third","Yes","Yes","15","100","2021-04-25-20:04:43","9:17","30","2021-04-25-20:09:00","3:29","70","2021-04-25-20:10:52","6:38","120","2021-04-25-20:12:22","3","4","4","4","5","1","1","3","3","1","5","4","4","5","Male","45–54","No, I have never used smartwatch before"
"I-third-second-first-670cfe8e-12c5-4191-ac50-b8041675f872","I","third-second-first","","","13","40","2021-04-25-20:09:23","2:1","30","","","","","","","","","","","","","","","","","","","","","","","",""
"K-second-first-third-77b66a6d-e20c-4145-97b7-7691a8add10d","K","second-first-third","Yes","Yes","20","140","2021-04-25-20:13:05","3:29","80","2021-04-25-20:19:13","9:17","80","2021-04-25-20:20:47","6:38","120","2021-04-25-20:22:27","1","2","4","5","5","2","2","4","4","1","4","4","5","5","Male","25–34","Yes, I used to be a smartwatch user"
"N-first-second-third-414126f1-472d-43ba-9d96-59723cd75bbd","N","first-second-third","Yes","Yes","20","140","2021-04-25-19:50:30","9:17","40","2021-04-25-20:08:58","3:29","160","2021-04-25-20:13:43","6:38","120","2021-04-25-20:14:08","4","3","4","4","4","5","5","4","3","1","3","4","4","4","Female","25–34","Yes, I am currently a smartwatch user"
"C-third-first-second-365c1a51-7374-42c9-8b4d-8e21794b41f6","C","third-first-second","Yes","Yes","20","140","2021-04-25-20:09:03","9:10","40","2021-04-25-20:11:53","9:17","30","2021-04-25-20:12:55","3:29","140","2021-04-25-20:14:08","2","5","4","3","3","4","3","4","4","1","3","4","3","4","Female","25–34","Yes, I used to be a smartwatch user"
"N-first-second-third-bbfc33f0-22f7-4bf7-ab1c-1c1dd4493695","N","first-second-third","Yes","Yes","10","160","2021-04-25-20:13:15","9:17","1","2021-04-25-20:17:16","3:29","0","2021-04-25-20:18:26","6:38","3","2021-04-25-20:20:28","2","5","5","4","3","3","4","2","2","1","1","1","1","4","Female","25–34","Yes, I am currently a smartwatch user"
"G-third-first-second-34d1a771-3f83-423b-8d7f-30ea259e8259","G","third-first-second","Yes","Yes","20","140","2021-04-25-20:10:10","8:35","20","2021-04-25-20:16:52","9:17","20","2021-04-25-20:19:31","3:29","100","2021-04-25-20:20:34","2","2","2","2","3","5","5","2","3","1","4","2","2","1","Male","25–34","No, I have never used smartwatch before"
"O-first-third-second-a993f12c-2649-4eff-96d6-f7e56815e648","O","first-third-second","Yes","Yes","20","140","2021-04-25-20:09:15","9:38","50","2021-04-25-20:12:35","6:38","90","2021-04-25-20:14:31","6:38","90","2021-04-25-20:15:09","4","5","4","5","4","5","4","3","3","4","4","3","3","4","Male","25–34","Yes, I used to be a smartwatch user"
"D-first-third-second-a173279b-94bb-417e-b648-6f419adfacd9","D","first-third-second","Yes","Yes","20","130","2021-04-25-20:10:34","9:17","35","2021-04-25-20:13:54","6:38","12","2021-04-25-20:14:43","3:29","70","2021-04-25-20:15:32","5","4","4","4","5","2","2","4","4","1","3","4","4","5","Female","55–64","Yes, I am currently a smartwatch user"
"N-third-second-first-ab91f7ba-c5f2-405c-810c-5bc6f0decc78","N","third-second-first","Yes","Yes","20","140","2021-04-25-20:05:46","6:38","30","2021-04-25-20:12:41","3:29","80","2021-04-25-20:15:20","9:17","40","2021-04-25-20:16:46","4","4","4","3","4","3","3","4","5","1","2","2","2","3","Male","45–54","No, I have never used smartwatch before"
"C-third-second-first-e11ba460-9acb-46cc-a6f4-705ffb4c80f7","C","third-second-first","Yes","Yes","6","5","2021-04-25-20:15:51","6:38","50","2021-04-25-20:18:51","3:29","50","2021-04-25-20:20:15","9:17","52","2021-04-25-20:20:35","1","3","3","4","2","3","2","2","3","2","3","2","2","3","Male","35–44","No, I have never used smartwatch before"
"I-first-third-second-4445ce99-6b07-47b3-9498-0ba2a64b2b90","I","first-third-second","Yes","Yes","15","140","2021-04-25-20:19:21","9:15","50","2021-04-25-20:22:04","6:37","125","2021-04-25-20:22:40","3:29","75","2021-04-25-20:24:33","2","4","4","3","3","4","4","1","1","1","3","2","3","4","Male","25–34","Yes, I am currently a smartwatch user"
"I-first-second-third-73e33b9f-f545-4605-8d78-3db1f293c9a8","I","first-second-third","Yes","Yes","15","40","2021-04-25-20:11:32","1:0","20","2021-04-25-20:14:38","3:29","110","2021-04-25-20:16:23","6:38","40","2021-04-25-20:17:31","3","5","4","5","4","2","3","4","4","1","4","5","4","4","Male","25–34","Yes, I used to be a smartwatch user"
"K-second-first-third-ce34e159-efec-4604-b1c6-bdf78c4fb63f","K","second-first-third","Yes","Yes","20","140","2021-04-25-20:10:25","3:11","120","2021-04-25-20:27:45","9:17","40","2021-04-25-20:29:02","2:24","40","2021-04-25-20:29:43","4","5","3","4","5","5","3","4","4","1","5","4","4","3","Female","55–64","Yes, I used to be a smartwatch user"
"A-third-first-second-69f50c53-9170-4eeb-b2d9-dc68b294d0b4","A","third-first-second","Yes","Yes","12","140","2021-04-25-20:16:00","6:38","125","2021-04-25-20:22:35","9:17","40","2021-04-25-20:26:14","3:29","75","2021-04-25-20:27:02","5","5","5","5","5","1","1","5","5","1","4","5","5","5","Male","35–44","Yes, I used to be a smartwatch user"
"C-second-third-first-814baa9e-2ac3-466a-a08a-196756e2a073","C","second-third-first","Yes","Yes","20","140","2021-04-25-20:13:47","6:38","50","2021-04-25-20:18:26","16:23","67","2021-04-25-20:19:07","13:33","78","2021-04-25-20:19:46","1","2","3","2","3","3","3","3","4","1","2","3","2","3","Male","25–34","Yes, I used to be a smartwatch user"
"I-third-second-first-5485d194-89e1-4ac3-b759-bfb6994e1177","I","third-second-first","Yes","Yes","125","958","2021-04-25-20:21:11","6:18","50","2021-04-25-20:23:41","03:29","110","2021-04-25-20:24:26","09:17","50","2021-04-25-20:24:54","1","2","3","3","4","5","5","4","3","1","1","2","3","4","Male","25–34","Yes, I used to be a smartwatch user"
"F-first-second-third-87fd082e-019b-41f4-8d28-2889b8688194","F","first-second-third","Yes","Yes","24","135","2021-04-25-20:15:57","9:17","35","2021-04-25-20:17:55","3:29","70","2021-04-25-20:18:34","6:38","115","2021-04-25-20:21:34","4","4","4","4","4","1","2","1","1","1","4","4","4","4","Female","35–44","No, I have never used smartwatch before"
"B-second-third-first-573f2c34-cd0e-4819-a91b-79163e968d03","B","second-third-first","Yes","Yes","12","40","2021-04-25-20:13:47","3:29","70","2021-04-25-20:20:34","6:38","120","2021-04-25-20:22:26","9:17","35","2021-04-25-20:23:44","4","4","5","5","5","1","1","5","5","1","3","4","4","5","Male","55–64","Yes, I am currently a smartwatch user"
"C-third-second-first-99ac6de0-7d65-403f-af19-b240f7b86e51","C","third-second-first","Yes","Yes","20","120","2021-04-25-20:21:00","2:4","34","2021-04-25-20:23:06","23:22","23","2021-04-25-20:24:18","23:33","34","2021-04-25-20:24:40","4","3","4","3","4","3","4","3","2","1","2","3","4","3","Male","25–34","Yes, I used to be a smartwatch user"
"Q-third-first-second-cc25e867-7dad-4024-88c0-c1739d1fcd64","Q","third-first-second","Yes","Yes","5","5","2021-04-25-20:21:03","6:38","55","2021-04-25-20:22:54","9:27","15","2021-04-25-20:24:19","3:29","50","2021-04-25-20:24:31","2","2","3","2","2","2","3","2","2","3","2","2","3","2","Female","35–44","Yes, I used to be a smartwatch user"
"F-second-third-first-8604afa5-b46b-4f5f-9a78-3dc98aaf699c","F","second-third-first","","","40","110","2021-04-25-20:10:56","4:05","60","","","","","","","","","","","","","","","","","","","","","","","",""
"Q-first-second-third-ddc3dec5-3953-4643-af60-7c26c6867130","Q","first-second-third","Yes","Yes","20","140","2021-04-25-20:20:00","9:18","20","2021-04-25-20:24:21","3:29","60","2021-04-25-20:25:56","3:48","100","2021-04-25-20:27:25","4","5","4","4","4","2","1","3","3","1","5","4","4","4","Male","45–54","No, I have never used smartwatch before"
"G-third-second-first-c3733eaa-f887-4e8c-8b86-4b2573ae6ba6","G","third-second-first","Yes","Yes","25","140","2021-04-25-20:18:35","6:38","96","2021-04-25-20:21:34","9:30","50","2021-04-25-20:23:58","9:17","80","2021-04-25-20:24:10","4","4","4","5","4","5","4","4","4","5","3","5","4","4","Male","25–34","Yes, I used to be a smartwatch user"
"E-first-second-third-17c4a59c-7921-4799-b29d-f0db1d2cc9f8","E","first-second-third","Yes","Yes","20","140","2021-04-25-20:17:45","9:17","80","2021-04-25-20:25:06","3:27","80","2021-04-25-20:28:18","6:38","70","2021-04-25-20:29:14","2","3","2","3","3","3","4","4","3","1","2","2","4","4","Female","35–44","Yes, I used to be a smartwatch user"
"B-first-third-second-c6e2b21e-a442-40b0-b3ea-b513dd8fd544","B","first-third-second","Yes","Yes","15","35","2021-04-25-20:17:41","9:20","40","2021-04-25-20:24:47","4:12","72","2021-04-25-20:28:09","23:2","71","2021-04-25-20:29:16","1","4","3","3","4","4","4","4","5","1","4","3","4","5","Male","25–34","Yes, I used to be a smartwatch user"
"H-second-first-third-d4c9756d-99b5-4c36-98c6-17b5eacf91db","H","second-first-third","Yes","","20","140","2021-04-25-20:25:42","3:17","27","2021-04-25-20:27:25","2:2","45","2021-04-25-20:29:16","11:5","41","","","","","","","","","","","","","","","","","",""
"P-third-second-first-b7fcafd9-66e0-4529-a628-c84b714916ac","P","third-second-first","Yes","Yes","20","140","2021-04-25-20:18:08","1:1","1","2021-04-25-20:23:40","3:29","140","2021-04-25-20:27:20","9:17","20","2021-04-25-20:28:23","3","3","3","3","4","2","3","3","3","1","3","4","3","2","Female","25–34","No, I have never used smartwatch before"
"I-second-first-third-d8e99404-ecab-4d4f-85b8-de5c76fd1513","I","second-first-third","","","20","145","2021-04-25-20:07:04","3:4","75","","","","","","","","","","","","","","","","","","","","","","","",""
"C-second-third-first-590508c9-bed8-463f-a834-e88119ea5e83","C","second-third-first","Yes","Yes","20","40","2021-04-25-20:17:58","4:2","52","2021-04-25-20:25:08","110:23","10","2021-04-25-20:28:44","110:231","30","2021-04-25-20:29:36","3","3","4","3","4","3","4","4","3","1","4","3","3","4","Female","25–34","No, I have never used smartwatch before"
"G-first-second-third-26000dbc-3057-4914-ad7f-e3c991430efd","G","first-second-third","","","15","20","2021-04-25-20:27:42","9:20","2","2021-04-25-20:29:58","3:29","75","","","","","","","","","","","","","","","","","","","","",""
"G-third-first-second-8990ad89-895c-47ac-b0d2-0f93b12e1ab2","G","third-first-second","Yes","Yes","30","145","2021-04-25-20:35:41","6:38","20","2021-04-25-20:39:53","9:17","50","2021-04-25-20:41:06","3:29","70","2021-04-25-20:43:51","3","5","4","2","3","2","5","3","4","1","2","1","1","2","Male","25–34","Yes, I am currently a smartwatch user"
"O-second-third-first-ad7bfd34-571d-4c22-9863-d18a5f12f77b","O","second-third-first","","","20","140","2021-04-25-20:22:17","66:17","67","","","","","","","","","","","","","","","","","","","","","","","",""
"G-first-third-second-830a7263-75ab-4aba-8bcd-07339fa36b2a","G","first-third-second","Yes","Yes","10","175","2021-04-25-20:32:25","9:17","25","2021-04-25-20:36:28","6:38","120","2021-04-25-20:38:48","3:29","85","2021-04-25-20:40:37","4","5","5","2","4","5","3","5","5","1","5","5","1","4","Female","25–34","Yes, I used to be a smartwatch user"
"D-second-third-first-3bebba3d-f68f-41a1-96d4-72abfe422f68","D","second-third-first","Yes","Yes","20","140","2021-04-25-20:39:14","3:29","70","2021-04-25-20:44:06","6:38","120","2021-04-25-20:45:34","9:17","45","2021-04-25-20:47:09","3","4","5","4","4","2","4","5","5","1","3","4","4","2","Female","18–24","Yes, I am currently a smartwatch user"
"F-second-third-first-e89af16f-e22e-4e52-9cc0-5fdd87a07cdf","F","second-third-first","","","20","140","2021-04-25-20:30:22","9:10","47","","","","","","","","","","","","","","","","","","","","","","","",""
"E-third-first-second-b893ef7e-4a51-4642-9526-490cd86d9f68","E","third-first-second","Yes","Yes","25","50","2021-04-25-20:27:46","79:51","40","2021-04-25-20:32:48","179:161","5","2021-04-25-20:33:34","179:175","0","2021-04-25-20:34:28","5","5","5","5","5","2","2","4","4","1","5","5","5","5","Female","55–64","Yes, I used to be a smartwatch user"
"I-second-third-first-e9d03606-f7ca-42e5-9b80-e272f0532f2f","I","second-third-first","","","20","140","2021-04-25-20:31:05","3:29","140","","","","","","","","","","","","","","","","","","","","","","","",""
"B-first-second-third-3fa73898-6530-468a-8bf3-94e7933cba45","B","first-second-third","Yes","Yes","15","135","2021-04-25-20:26:43","9:17","20","2021-04-25-20:31:50","3:29","29","2021-04-25-20:33:40","6:38","120","2021-04-25-20:35:09","1","1","2","2","4","5","3","1","1","1","2","2","1","5","Female","55–64","No, I have never used smartwatch before"
"P-second-third-first-8f71b0f7-0b84-455c-bb39-06bc646f4763","P","second-third-first","","","20","120","2021-04-25-20:31:48","03:29","60","","","","","","","","","","","","","","","","","","","","","","","",""
"M-first-second-third-71f8f474-7fc9-40f2-addf-e2ba4e10f62f","M","first-second-third","","","64","158","2021-04-25-20:21:44","9:15","96","","","","","","","","","","","","","","","","","","","","","","","",""
"C-first-third-second-73b1c08b-8ac9-41f6-999b-c671f7b20541","C","first-third-second","Yes","Yes","20","140","2021-04-25-20:34:58","9:17","30","2021-04-25-20:40:43","6:38","110","2021-04-25-20:42:25","3:29","70","2021-04-25-20:43:10","5","5","5","5","5","1","1","5","5","1","4","4","4","4","Female","45–54","Yes, I am currently a smartwatch user"
"Q-first-third-second-d37fe5de-6ca1-441a-8b71-d424a57505c9","Q","first-third-second","Yes","Yes","20","140","2021-04-25-20:29:58","82:20","100","2021-04-25-20:37:13","78:45","20","2021-04-25-20:40:22","78:15","30","2021-04-25-20:40:45","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Male","25–34","Yes, I used to be a smartwatch user"
"D-first-second-third-eb3d7874-d920-432e-88af-55ac24b39f9a","D","first-second-third","","","35","150","2021-04-25-20:27:52","4:20","16","2021-04-25-20:38:11","3:19","9","","","","","","","","","","","","","","","","","","","","",""
"D-first-second-third-eb3d7874-d920-432e-88af-55ac24b39f9a","D","first-second-third","","","35","150","2021-04-25-20:27:52","4:20","16","2021-04-25-20:38:11","3:19","9","","","","","","","","","","","","","","","","","","","","",""
"B-second-third-first-9fb8434c-4990-41f0-a1f4-20fba622dbf0","B","second-third-first","","","10","25","2021-04-25-20:32:01","3:90","140","","","","","","","","","","","","","","","","","","","","","","","",""
"K-second-first-third-dffd95d1-f3dc-45b4-b259-14beab0f8a0c","K","second-first-third","Yes","Yes","20","120","2021-04-25-20:38:19","2:3","23","2021-04-25-20:39:47","2:3","23","2021-04-25-20:40:21","2:4","24","2021-04-25-20:40:59","2","4","3","2","3","2","3","4","1","1","3","2","4","2","Female","25–34","Yes, I used to be a smartwatch user"
"G-second-third-first-4e04051e-8611-4dba-b8fd-4a0eaf7868aa","G","second-third-first","","","32","176","2021-04-25-20:26:26","3:33","27","","","","","","","","","","","","","","","","","","","","","","","",""
"D-third-second-first-3a037a93-e2ae-4b77-a7bd-3486939eba66","D","third-second-first","Yes","Yes","20","130","2021-04-25-20:37:47","6:38","30","2021-04-25-20:39:59","3:29","70","2021-04-25-20:41:08","9:17","35","2021-04-25-20:42:04","2","3","4","4","3","1","1","4","4","1","3","4","4","4","Male","25–34","Yes, I am currently a smartwatch user"
"Q-third-first-second-83b4010a-f5ea-4967-9378-b397de5a8854","Q","third-first-second","Yes","Yes","0537","0428","2021-04-25-20:35:26","06:38","100","2021-04-25-20:38:19","09:17","110","2021-04-25-20:39:51","3:17","58","2021-04-25-20:40:06","1","2","2","2","2","2","2","2","2","2","2","2","2","3","Male","25–34","Yes, I used to be a smartwatch user"
"O-third-first-second-b3e677c0-7591-4452-b3f1-63c59aae1803","O","third-first-second","Yes","Yes","30","140","2021-04-25-20:21:05","6:35","115","2021-04-25-20:39:33","9:17","30","2021-04-25-20:42:53","3:29","70","2021-04-25-20:43:57","4","5","4","4","4","2","2","4","5","1","4","5","4","5","Female","25–34","Yes, I am currently a smartwatch user"
"D-first-third-second-033b3df4-1aec-40cf-9f09-52ddb713c41a","D","first-third-second","","","25","140","2021-04-25-20:37:55","9:17","40","2021-04-25-20:41:01","6:28","125","","","","","","","","","","","","","","","","","","","","",""
"C-second-third-first-f6d270ac-6f66-45ce-9ce7-e2423e61b7bc","C","second-third-first","Yes","Yes","907","0523","2021-04-25-20:41:50","09:17","80","2021-04-25-20:44:59","06:38","104","2021-04-25-20:46:42","09:17","42","2021-04-25-20:46:55","2","3","2","2","2","2","2","3","2","2","2","3","2","2","Male","25–34","Yes, I used to be a smartwatch user"
"C-second-third-first-4efdfbef-f09d-40e5-8394-063e62cb8c64","C","second-third-first","Yes","Yes","20","140","2021-04-25-20:47:49","3:29","50","2021-04-25-20:52:48","3:39","30","2021-04-25-20:53:31","6:17","30","2021-04-25-20:55:07","2","1","3","3","3","2","1","2","2","1","5","4","4","3","Male","35–44","No, I have never used smartwatch before"
"I-first-second-third-53c5ebf3-b961-4574-9018-a591015f1d2b","I","first-second-third","Yes","Yes","15","135","2021-04-25-20:34:00","09:17","40","2021-04-25-20:39:57","3:29","75","2021-04-25-20:41:36","06:38","140","2021-04-25-20:42:51","3","3","5","5","5","1","1","5","5","1","5","5","5","5","Male","25–34","Yes, I am currently a smartwatch user"
"D-third-second-first-8552bf96-ebbb-45a8-b58b-02755928fab3","D","third-second-first","Yes","Yes","12","140","2021-04-25-20:20:59","6:45","115","2021-04-25-20:59:14","3:29","70","2021-04-25-20:59:59","9:17","69","2021-04-25-21:00:57","4","5","5","4","5","2","2","5","4","1","4","5","5","4","Male","25–34","Yes, I used to be a smartwatch user"
"A-second-third-first-0c9c775d-1920-428b-b307-107cfdbbcc97","A","second-third-first","Yes","Yes","10","140","2021-04-25-20:37:18","3:29","74","2021-04-25-20:55:27","6:38","115","2021-04-25-20:56:15","9:17","25","2021-04-25-20:57:27","1","1","4","4","4","1","1","1","1","1","5","5","5","5","Female","25–34","Yes, I am currently a smartwatch user"
"J-third-first-second-7340d4cf-6fc0-41a6-985b-99a33484e33f","J","third-first-second","Yes","Yes","12","137","2021-04-25-21:17:47","6:38","34","2021-04-25-21:24:02","9:17","34","2021-04-25-21:26:28","3:29","34","2021-04-25-21:29:24","4","3","3","3","3","2","1","1","1","1","1","2","1","5","Female","45–54","No, I have never used smartwatch before"
"C-first-second-third-59e72c98-acc7-47b9-a664-d2e5e0b66eb5","C","first-second-third","Yes","Yes","20","140","2021-04-25-20:59:21","9:17","30","2021-04-25-21:04:49","3:29","60","2021-04-25-21:06:44","6:38","110","2021-04-25-21:07:51","4","5","5","5","5","1","1","5","5","1","4","5","3","4","Female","35–44","No, I have never used smartwatch before"
"O-third-second-first-7f86908a-67e0-4be1-8d64-cb371493a973","O","third-second-first","Yes","","4","108","2021-04-25-20:47:12","6:38","10","2021-04-25-20:50:08","3:29","65","2021-04-25-20:52:25","9:17","35","","","","","","","","","","","","","","","","","",""
