"code","interface","interfaceorder","completionthreequizzes","completionall","test1","test2","q1date","q1time","q1progress","q2date","q2time","q2progress","q3date","q3time","q3progress","finaldate","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17"
"A-first-second-third-55caf5d6-5555-4b08-b376-234818cac7af","A","first-second-third","","","10","140","2021-04-10-19:02:49","6:38","40","","","","","","","","","","","","","","","","","","","","","","","",""
"J-third-second-first-af9cd31f-1d51-4359-9cba-0aeb56198c1b","J","third-second-first","Yes","Yes","10","140","2021-04-10-19:06:26","6:38","130","2021-04-10-19:11:43","3:29","70","2021-04-10-19:12:59","9:17","70","2021-04-10-19:14:43","4","4","5","5","4","1","1","2","2","1","5","3","4","5","Male","25–34","No, I have never used smartwatch before"
"Q-second-first-third-12a60d85-73db-411b-89ec-678844d26603","Q","second-first-third","Yes","Yes","20","140","2021-04-10-18:38:27","0:10","60","2021-04-10-18:51:11","9:12","30","2021-04-10-18:51:46","6:38","38","2021-04-10-18:52:13","5","4","5","5","5","4","5","5","5","1","4","5","4","5","Male","25–34","Yes, I used to be a smartwatch user"
"H-first-second-third-5e9aca02-14b9-4ef8-95a7-b402e6cb3367","H","first-second-third","Yes","","17","38","2021-04-10-18:41:00","01:38","140","2021-04-10-18:47:45","01:38","140","2021-04-10-18:53:52","01:38","90","","","","","","","","","","","","","","","","","",""
"G-first-second-third-7e74794c-86f3-4a4c-8f7e-48100d37bf2a","G","first-second-third","","","20","140","2021-04-10-18:53:40","9:17","38","","","","","","","","","","","","","","","","","","","","","","","",""
"F-first-second-third-0ea4628a-4aeb-4873-91f5-47672de070b9","F","first-second-third","","","20","140","2021-04-10-19:17:22","43:70","70","","","","","","","","","","","","","","","","","","","","","","","",""
"J-second-third-first-bbff725a-2399-4e71-83cd-457e619aa804","J","second-third-first","","","15","75","2021-04-10-19:05:36","3:50","20","","","","","","","","","","","","","","","","","","","","","","","",""
"K-third-second-first-9bda6511-e150-4079-8d99-a936382f7e1e","K","third-second-first","Yes","Yes","20","140","2021-04-10-19:17:11","06:38","50","2021-04-10-19:23:32","06:38","70","2021-04-10-19:24:45","09:17","30","2021-04-10-19:26:11","1","4","5","5","3","1","2","4","2","1","5","4","5","4","Male","25–34","Yes, I am currently a smartwatch user"
"Q-first-third-second-22408595-ab4b-41f9-bec3-1373cd05db30","Q","first-third-second","","","70","80","2021-04-10-19:11:32","140:00","80","","","","","","","","","","","","","","","","","","","","","","","",""
"Q-second-third-first-33ad94f7-0bc4-42f4-b9d9-b199e41f1806","Q","second-third-first","Yes","Yes","20","140","2021-04-10-19:05:14","3:29","23","2021-04-10-19:08:01","6:28","0","2021-04-10-19:08:51","9:17","20","2021-04-10-19:09:32","3","1","1","1","1","5","5","1","1","1","3","1","1","1","Female","45–54","No, I have never used smartwatch before"
"N-third-first-second-e380a6dd-f276-4d43-8a2d-ae36044414c3","N","third-first-second","","","75","100","2021-04-10-19:28:06","2:1","140","2021-04-10-19:34:03","2:10","140","","","","","","","","","","","","","","","","","","","","",""
"F-third-first-second-a900d771-ae93-4be7-a077-ee11c1f19705","F","third-first-second","Yes","","48","117","2021-04-10-19:00:52","6:36","3","2021-04-10-19:08:29","9:17","100","2021-04-10-19:10:23","9:29","3","","","","","","","","","","","","","","","","","",""
"K-first-second-third-ba1b10ff-0e51-4f93-8994-fc250983387f","K","first-second-third","","","20","150","2021-04-10-18:59:08","21:10","92","","","","","","","","","","","","","","","","","","","","","","","",""
"G-second-third-first-ade5dcd2-6880-4a7a-b95e-c63d61e6fcb5","G","second-third-first","Yes","Yes","50","150","2021-04-10-19:00:29","3:25","60","2021-04-10-19:09:08","6:38","130","2021-04-10-19:13:07","9:17","110","2021-04-10-19:13:54","5","5","4","4","4","5","4","4","5","1","5","4","4","4","Female","35–44","Yes, I am currently a smartwatch user"
"C-second-third-first-6a9e5ffa-89f4-4116-a15a-fcb6aa18248c","C","second-third-first","Yes","Yes","90","120","2021-04-10-19:00:33","3:29","60","2021-04-10-19:09:41","6:38","10","2021-04-10-19:13:04","9:17","110","2021-04-10-19:13:59","4","4","5","4","3","3","5","3","4","1","4","3","4","5","Female","45–54","Yes, I am currently a smartwatch user"
"M-first-third-second-966020eb-70ff-4787-82ef-96fc4605ba11","M","first-third-second","Yes","","10","145","2021-04-10-19:10:18","9:17","20","2021-04-10-19:15:37","6:15","45","2021-04-10-19:18:25","3:29","84","","","","","","","","","","","","","","","","","",""
"P-second-first-third-6b250674-53d6-4262-933c-ed0e6ae42201","P","second-first-third","Yes","Yes","20","140","2021-04-10-19:09:49","3:29","60","2021-04-10-19:14:14","9:17","40","2021-04-10-19:17:06","6:38","120","2021-04-10-19:18:55","2","2","2","2","3","3","4","3","3","1","2","2","2","1","Male","25–34","No, I have never used smartwatch before"
"E-third-first-second-08c4b19c-7c9e-4e72-9b96-97f980d436b2","E","third-first-second","Yes","Yes","20","140","2021-04-10-19:22:27","6:38","100","2021-04-10-19:29:30","9:17","100","2021-04-10-19:32:36","3:29","110","2021-04-10-19:33:39","5","5","4","5","5","4","5","5","4","1","5","4","5","4","Male","45–54","Yes, I used to be a smartwatch user"
"A-third-first-second-94c10e2f-23b0-4f69-9898-23908795c7a8","A","third-first-second","Yes","Yes","20","140","2021-04-10-19:12:51","3:29","80","2021-04-10-19:26:52","9:17","45","2021-04-10-19:29:43","3:29","80","2021-04-10-19:30:08","4","3","2","2","3","2","3","4","3","1","3","2","3","2","Female","25–34","Yes, I am currently a smartwatch user"
"P-third-second-first-5efdbacc-fa04-416b-981a-80febd8c1f32","P","third-second-first","","","30","60","2021-04-10-19:29:01","2:1","140","","","","","","","","","","","","","","","","","","","","","","","",""
"C-third-first-second-5002084a-0053-4dee-ab1a-c492e5524455","C","third-first-second","","","50","70","2021-04-10-19:51:21","5:5","5","2021-04-10-20:07:45","32:22","17","","","","","","","","","","","","","","","","","","","","",""
"B-first-third-second-c976f732-f000-4629-9378-438c2af7602b","B","first-third-second","Yes","Yes","25","50","2021-04-10-19:25:19","9:17","140","2021-04-10-19:39:07","9:12","120","2021-04-10-19:42:37","3:29","75","2021-04-10-19:43:17","3","4","4","3","4","4","3","4","4","1","4","3","3","4","Female","25–34","No, I have never used smartwatch before"
"J-third-second-first-9602cdad-b3d4-4f4c-b23e-a09f130c026d","J","third-second-first","Yes","Yes","20","140","2021-04-10-19:52:52","06:38","40","2021-04-10-19:57:46","03:29","70","2021-04-10-20:00:50","09:17","20","2021-04-10-20:01:11","1","3","2","3","4","5","4","3","4","1","3","2","3","2","Male","35–44","Yes, I used to be a smartwatch user"
"G-second-third-first-789c34aa-e485-46aa-9178-af7169387e11","G","second-third-first","Yes","Yes","30","175","2021-04-10-19:28:20","3:29","90","2021-04-10-19:31:47","6:38","40","2021-04-10-19:32:54","9:17","45","2021-04-10-19:33:25","4","3","4","4","3","2","2","4","4","1","4","4","4","4","Male","25–34","No, I have never used smartwatch before"
"J-second-third-first-af154878-9239-4977-bc77-ee4c40cf3426","J","second-third-first","Yes","","12","45","2021-04-10-19:35:02","03:29","72","2021-04-10-19:37:38","06:38","120","2021-04-10-19:43:54","09:17","45","","","","","","","","","","","","","","","","","",""
"M-third-first-second-08889907-9b3e-4a31-99cf-cfd589e2c771","M","third-first-second","Yes","Yes","20","125","2021-04-10-19:27:15","6:30","55","2021-04-10-19:31:54","9:17","25","2021-04-10-19:35:55","3:29","75","2021-04-10-19:37:03","1","4","3","3","3","4","4","4","3","1","3","4","4","3","Female","25–34","Yes, I used to be a smartwatch user"
"C-first-third-second-aac82408-192a-458f-960b-90f6ca54f470","C","first-third-second","Yes","Yes","24","140","2021-04-10-19:51:21","120:10","25","2021-04-10-20:02:17","6:38","60","2021-04-10-20:03:13","3:23","60","2021-04-10-20:04:00","3","5","3","5","3","4","5","3","4","1","4","3","4","5","Female","35–44","Yes, I used to be a smartwatch user"
"G-third-second-first-59a65dd3-8592-4e85-a389-07b935bbe5e5","G","third-second-first","","","30","176","2021-04-10-19:23:05","6:40","140","2021-04-10-19:38:02","9:40","140","","","","","","","","","","","","","","","","","","","","",""
"E-second-third-first-4191e179-2b01-4e68-aae5-c06702dfd928","E","second-third-first","","","20","140","2021-04-10-19:55:19","3:29","75","","","","","","","","","","","","","","","","","","","","","","","",""
"A-second-first-third-46d4c912-781e-4ff7-9210-cca9230f0133","A","second-first-third","","","50","70","2021-04-10-19:28:59","2:4","140","","","","","","","","","","","","","","","","","","","","","","","",""
"M-second-third-first-077eea3f-b092-4f6c-b6f4-7d845e3b5310","M","second-third-first","Yes","Yes","25","130","2021-04-10-19:45:02","03:29","75","2021-04-10-19:46:40","06:38","110","2021-04-10-19:47:27","09:17","50","2021-04-10-19:48:02","1","4","5","4","5","2","1","5","4","1","5","4","5","5","Male","25–34","Yes, I used to be a smartwatch user"
"H-second-third-first-6a6baf6f-ab4e-4b81-ae2c-c639b526d310","H","second-third-first","Yes","Yes","20","40","2021-04-10-19:50:05","3:29","10","2021-04-10-19:54:01","6:38","25","2021-04-10-19:55:06","9:17","35","2021-04-10-19:56:43","1","2","2","2","2","4","4","2","1","1","2","2","2","3","Male","25–34","Yes, I used to be a smartwatch user"
"O-first-second-third-c9184744-39ef-417b-8eeb-7564f50338da","O","first-second-third","Yes","Yes","20","160","2021-04-10-19:47:17","2:4","20","2021-04-10-19:54:09","3:29","20","2021-04-10-19:54:54","6:38","20","2021-04-10-19:56:50","1","5","2","1","1","5","5","1","1","1","1","1","1","3","Female","25–34","Yes, I used to be a smartwatch user"
"H-second-third-first-cebfd1fb-8fcc-4602-acb9-57feb343e868","H","second-third-first","Yes","Yes","20","140","2021-04-10-19:36:41","3:29","0","2021-04-10-19:38:27","6:26","0","2021-04-10-19:39:04","9:17","0","2021-04-10-19:40:09","1","1","1","2","2","5","5","1","2","1","3","1","1","1","Male","18–24","Yes, I used to be a smartwatch user"
"M-third-first-second-6f3501a4-b669-4de6-908a-51196984cf60","M","third-first-second","Yes","Yes","20","140","2021-04-10-19:38:14","6:38","165","2021-04-10-19:39:50","9:17","26","2021-04-10-19:40:39","3:29","40","2021-04-10-19:41:15","2","3","4","5","4","5","5","4","4","1","5","4","4","3","Female","25–34","Yes, I used to be a smartwatch user"
"I-second-first-third-ef43c9bf-5cd3-4fb4-83b9-7a5928d0d3a6","I","second-first-third","Yes","Yes","20","140","2021-04-10-19:32:25","03:29","75","2021-04-10-19:37:19","09:17","40","2021-04-10-19:41:16","06:38","50","2021-04-10-19:41:43","4","3","2","3","4","3","5","4","3","1","4","3","4","3","Male","25–34","Yes, I used to be a smartwatch user"
"F-first-third-second-ce4e260a-6824-40ac-8a21-8e9dd05e0f0e","F","first-third-second","Yes","Yes","25","140","2021-04-10-19:46:04","9:17","20","2021-04-10-19:49:54","3:26","120","2021-04-10-19:50:30","3:29","140","2021-04-10-19:51:01","3","4","4","3","4","4","3","4","4","1","3","3","4","4","Male","25–34","No, I have never used smartwatch before"
"M-third-first-second-ee4f0c4f-c090-4fd2-b474-6f578b134f81","M","third-first-second","Yes","Yes","25","140","2021-04-10-20:00:53","3:26","120","2021-04-10-20:06:50","9:17","80","2021-04-10-20:07:30","3:29","95","2021-04-10-20:08:20","4","5","4","3","4","5","4","5","4","1","4","5","4","3","Male","25–34","No, I have never used smartwatch before"
"F-first-second-third-f3fbc103-ddb4-49fa-aa24-adb24f9f6586","F","first-second-third","Yes","Yes","40","140","2021-04-10-19:44:06","09:17","60","2021-04-10-19:48:45","03:29","140","2021-04-10-19:51:05","06:38","120","2021-04-10-19:51:28","1","5","4","3","4","3","4","4","5","1","4","3","4","5","Female","45–54","Yes, I used to be a smartwatch user"
"Q-first-third-second-32e03dc3-1ac0-4634-abfe-bc73e9329fb8","Q","first-third-second","Yes","Yes","24","64","2021-04-10-19:42:25","9:17","24","2021-04-10-20:01:55","6:38","20","2021-04-10-20:03:03","3:29","25","2021-04-10-20:03:42","4","4","5","5","5","5","4","5","5","1","4","4","5","5","Male","35–44","Yes, I used to be a smartwatch user"
"C-first-third-second-f596d4ef-f88a-4c65-9261-62370c12a9ba","C","first-third-second","Yes","","20","140","2021-04-10-19:41:09","5:0","20","2021-04-10-19:49:53","6:38","110","2021-04-10-19:58:30","3:29","70","","","","","","","","","","","","","","","","","",""
"H-third-second-first-ec319b16-1c10-41aa-9c4e-38eabb1195dc","H","third-second-first","Yes","Yes","20","140","2021-04-10-20:00:14","06:38","0","2021-04-10-20:06:26","3:29","60","2021-04-10-20:08:47","9:17","20","2021-04-10-20:09:05","4","3","2","3","4","3","5","3","4","1","4","3","4","5","Male","25–34","Yes, I used to be a smartwatch user"
"B-third-second-first-b74315e5-473f-4d15-b245-5129478ca059","B","third-second-first","Yes","Yes","20","45","2021-04-10-19:59:29","6:38","140","2021-04-10-20:03:58","3:29","75","2021-04-10-20:05:39","9:17","40","2021-04-10-20:06:50","3","4","4","3","4","1","3","3","4","1","4","4","3","4","Male","25–34","No, I have never used smartwatch before"
"J-third-first-second-f6ab06ac-0119-4256-96ed-9bc029456d34","J","third-first-second","Yes","Yes","20","45","2021-04-10-20:05:22","6:38","115","2021-04-10-20:06:34","9:17","120","2021-04-10-20:07:21","3:29","70","2021-04-10-20:08:30","2","3","3","2","5","5","4","1","1","1","2","2","2","3","Male","25–34","No, I have never used smartwatch before"
"J-third-second-first-4a3aac22-7e3e-4143-b2e0-8e5db807c8cc","J","third-second-first","Yes","Yes","15","35","2021-04-10-20:06:31","6:38","130","2021-04-10-20:11:44","3:29","60","2021-04-10-20:15:10","9:43","40","2021-04-10-20:15:40","3","3","3","3","3","2","2","2","3","1","4","3","3","4","Female","35–44","Yes, I used to be a smartwatch user"
"P-second-first-third-380f7a6d-762a-4f94-a151-ba95c0c7316c","P","second-first-third","Yes","","23","23","2021-04-10-20:56:50","0:60","0","2021-04-10-21:03:40","0:35","40","2021-04-10-21:06:51","0:34","20","","","","","","","","","","","","","","","","","",""
"E-third-first-second-63afe5cd-e0ae-49ad-9ee7-affba541fbfa","E","third-first-second","Yes","Yes","20","50","2021-04-11-00:02:35","5:40","50","2021-04-11-00:13:44","5:43","140","2021-04-11-00:16:44","3:30","160","2021-04-11-00:17:04","5","5","5","4","4","5","4","5","4","5","5","4","5","5","Female","18–24","Yes, I used to be a smartwatch user"
"B-first-third-second-7706e8c0-93d4-42bd-b85b-d12b66a267a3","B","first-third-second","Yes","Yes","12","137","2021-04-10-20:17:00","9:17","40","2021-04-10-20:20:21","6:38","20","2021-04-10-20:21:39","3:29","75","2021-04-10-20:22:52","2","3","3","2","3","4","4","2","2","1","4","3","4","4","Male","45–54","No, I have never used smartwatch before"
"B-second-first-third-ebccc1b4-a511-4fa7-bce0-d9cdc0e026af","B","second-first-third","Yes","Yes","15","45","2021-04-10-20:14:13","3:40","25","2021-04-10-20:20:47","9:14","30","2021-04-10-20:22:26","6:38","120","2021-04-10-20:23:10","1","2","2","2","3","1","1","2","2","1","3","2","1","2","Male","35–44","Yes, I am currently a smartwatch user"
"N-second-third-first-0fe53fd0-f4f1-411c-8b16-e5c3ddd7eb25","N","second-third-first","Yes","Yes","25","150","2021-04-10-21:45:16","3:29","50","2021-04-10-21:47:40","6:25","120","2021-04-10-21:50:51","9:17","40","2021-04-10-21:51:29","4","4","3","3","4","3","3","4","4","1","3","3","3","4","Male","55–64","No, I have never used smartwatch before"
"D-first-second-third-551fec24-5661-4d40-85d2-f65bee2b6eef","D","first-second-third","Yes","Yes","20","140","2021-04-10-21:06:59","9:17","105","2021-04-10-21:15:53","3:29","135","2021-04-10-21:16:26","6:38","30","2021-04-10-21:17:25","5","4","3","4","5","4","5","4","5","1","4","5","4","5","Male","25–34","No, I have never used smartwatch before"
"I-first-second-third-cec8e865-416e-4476-b49f-8f4350052143","I","first-second-third","Yes","Yes","24","140","2021-04-10-20:13:18","9:17","25","2021-04-10-20:23:15","3:29","35","2021-04-10-20:26:27","6:38","56","2021-04-10-20:26:51","5","4","5","5","5","5","5","5","4","1","5","4","5","5","Male","35–44","Yes, I used to be a smartwatch user"
"N-third-first-second-63ea0bdd-0399-4f8c-97fb-ca9fc6cfdec3","N","third-first-second","Yes","","20","40","2021-04-10-21:10:23","6:15","120","2021-04-10-21:17:18","9:17","20","2021-04-10-21:17:58","3:29","80","","","","","","","","","","","","","","","","","",""
"Q-second-first-third-afbc1e3b-fbae-4c64-ad88-896be00e16ec","Q","second-first-third","","","20","140","2021-04-10-22:03:00","2:30","80","","","","","","","","","","","","","","","","","","","","","","","",""
"I-third-first-second-d81713a6-befa-4f59-a50b-9165cf5ca275","I","third-first-second","Yes","Yes","20","140","2021-04-10-20:21:26","6:38","20","2021-04-10-20:25:13","9:17","40","2021-04-10-20:28:58","3:28","70","2021-04-10-20:29:43","1","4","4","5","4","1","1","5","5","1","5","5","5","5","Female","25–34","Yes, I used to be a smartwatch user"
"N-first-third-second-18d46a61-5456-431c-8438-76164b856e9b","N","first-third-second","Yes","","20","140","2021-04-10-23:20:08","8:17","75","2021-04-10-23:26:25","6:38","20","2021-04-10-23:28:35","3:29","80","","","","","","","","","","","","","","","","","",""
"A-second-third-first-79f6ed3b-41c0-487b-b614-dd06f6f4b7eb","A","second-third-first","Yes","Yes","5","25","2021-04-10-20:16:11","3:29","45","2021-04-10-20:26:06","6:38","130","2021-04-10-20:29:53","9:17","40","2021-04-10-20:31:23","1","3","1","1","3","4","5","2","2","1","2","1","2","1","Female","25–34","No, I have never used smartwatch before"
"N-third-second-first-53425306-84f6-46f0-8620-6af4bf289c3f","N","third-second-first","Yes","Yes","20","140","2021-04-10-21:18:22","6:38","50","2021-04-10-21:25:55","3:29","20","2021-04-10-21:27:04","9:17","40","2021-04-10-21:28:28","1","2","1","3","1","4","3","2","3","1","4","1","3","2","Male","18–24","Yes, I used to be a smartwatch user"
"G-second-third-first-b11f3728-07a6-4514-8b45-e304f5498acf","G","second-third-first","","","20","140","2021-04-10-21:10:33","3:29","100","2021-04-10-21:28:45","6:38","80","","","","","","","","","","","","","","","","","","","","",""
"F-third-first-second-9bd808a5-e49f-4c72-8687-996e70d4f135","F","third-first-second","Yes","Yes","20","140","2021-04-10-20:41:47","3:36","120","2021-04-10-20:43:09","3:36","100","2021-04-10-20:43:53","3:19","20","2021-04-10-20:44:17","4","3","4","3","4","3","4","3","4","1","3","4","4","3","Male","35–44","No, I have never used smartwatch before"
"H-first-third-second-ba18f3b0-4a78-497d-9558-a74a115bde4c","H","first-third-second","","","20","240","2021-04-10-20:45:37","150:0","50","","","","","","","","","","","","","","","","","","","","","","","",""
"G-third-first-second-06bd97c1-d964-4565-bc75-f2cde361ba3e","G","third-first-second","","","20","120","2021-04-10-21:12:47","6:38","50","","","","","","","","","","","","","","","","","","","","","","","",""
"K-third-second-first-fedb4d14-4a85-4f37-ba61-472c799ce4f6","K","third-second-first","","","10","25","2021-04-10-20:52:37","6:35","140","","","","","","","","","","","","","","","","","","","","","","","",""
"N-first-third-second-ab94f1cf-c847-4286-a2b2-95a14669493a","N","first-third-second","Yes","Yes","20","40","2021-04-10-20:41:14","10:1","36","2021-04-10-20:57:43","10:1","60","2021-04-10-21:03:28","1:0","25","2021-04-10-21:03:37","5","5","3","4","2","2","4","1","4","4","5","4","4","3","Prefer not to say","25–34","Yes, I used to be a smartwatch user"
"H-first-second-third-9bc6c164-850b-4d5c-9b46-bd4cad28ab3c","H","first-second-third","Yes","","25","150","2021-04-10-22:51:37","9:17","30","2021-04-10-22:55:13","3:23","75","2021-04-10-22:57:44","6:38","75","","","","","","","","","","","","","","","","","",""
"K-third-first-second-f8b7dd76-978f-4356-8023-84142c0516e5","K","third-first-second","Yes","Yes","20","140","2021-04-10-22:03:14","6:38","100","2021-04-10-22:11:31","9:17","50","2021-04-10-22:14:34","3:28","70","2021-04-10-22:15:17","1","4","5","4","5","4","5","4","5","1","4","5","4","5","Male","35–44","Yes, I used to be a smartwatch user"
"B-second-third-first-43ea47a4-9568-42e8-8409-8f930432e960","B","second-third-first","Yes","Yes","20","140","2021-04-10-21:32:12","5:9","75","2021-04-10-21:41:11","6:38","30","2021-04-10-21:41:49","9:17","80","2021-04-10-21:42:33","4","3","4","5","4","4","3","4","3","1","3","4","5","4","Male","25–34","Yes, I used to be a smartwatch user"
"D-second-first-third-a0bc8df6-2077-475a-9aca-73bc8f8c6a5e","D","second-first-third","","","20","130","2021-04-10-22:29:55","2:30","90","2021-04-10-22:38:44","2:30","90","","","","","","","","","","","","","","","","","","","","",""
"F-second-first-third-d18ec3b4-221c-4581-9b11-b38257397732","F","second-first-third","Yes","","115","110","2021-04-10-22:47:26","149:60","5","2021-04-10-22:52:20","130:5","5","2021-04-10-22:53:02","120:6","10","","","","","","","","","","","","","","","","","",""
"I-third-second-first-97206a9f-8917-4224-a2c8-f89ca487f85b","I","third-second-first","Yes","","20","140","2021-04-11-00:08:03","00:01","20","2021-04-11-00:10:56","12:10","140","2021-04-11-00:11:50","12:11","20","","","","","","","","","","","","","","","","","",""
"G-first-second-third-dcca60eb-5082-468a-b40d-9a90ecb78953","G","first-second-third","Yes","","20","140","2021-04-10-23:30:34","9:17","50","2021-04-10-23:32:39","3:29","75","2021-04-10-23:33:24","6:38","80","","","","","","","","","","","","","","","","","",""
"G-second-third-first-fe77aed7-fc52-465e-abcf-29bce15ad6c3","G","second-third-first","Yes","Yes","90","110","2021-04-10-22:57:01","31:80","60","2021-04-10-23:07:38","31:13","31","2021-04-10-23:10:47","42:32","80","2021-04-10-23:11:32","5","4","5","4","5","3","5","4","5","1","4","5","4","5","Female","25–34","Yes, I used to be a smartwatch user"
"N-first-second-third-a2623c58-3f8a-483d-a07c-f0074e68ea53","N","first-second-third","Yes","Yes","20","140","2021-04-10-23:48:59","9:17","25","2021-04-11-00:00:08","3:29","75","2021-04-11-00:03:42","6:38","80","2021-04-11-00:04:13","3","5","4","5","4","3","4","3","4","1","4","5","4","5","Male","25–34","Yes, I used to be a smartwatch user"
"O-third-first-second-5862a7ca-4d65-4164-8c64-0e5f70f82b47","O","third-first-second","Yes","","40","240","2021-04-11-00:18:29","06:38","40","2021-04-11-00:25:15","09:17","80","2021-04-11-00:27:59","03:29","70","","","","","","","","","","","","","","","","","",""
"F-second-third-first-3e3bc4ec-845f-4fa6-8e91-6f1f9fe997c4","F","second-third-first","Yes","Yes","40","140","2021-04-11-00:29:45","03:29","60","2021-04-11-00:32:44","06:38","110","2021-04-11-00:34:55","09:17","110","2021-04-11-00:36:49","3","4","4","3","5","1","3","3","5","1","4","5","2","4","Female","35–44","Yes, I used to be a smartwatch user"
"A-first-third-second-3d375011-5466-4567-87b2-c10d30a7221e","A","first-third-second","Yes","","10","140","2021-04-11-01:44:15","9:20","80","2021-04-11-01:53:57","06:38","125","2021-04-11-02:00:04","3:29","70","","","","","","","","","","","","","","","","","",""
"O-first-third-second-b5f8fbcb-3e34-4da4-917e-f44b0c800552","O","first-third-second","Yes","Yes","20","140","2021-04-11-02:06:10","9:17","30","2021-04-11-02:09:13","6:38","115","2021-04-11-02:10:46","3:29","55","2021-04-11-02:11:49","2","3","4","3","5","5","5","2","3","1","3","4","2","4","Female","18–24","Yes, I am currently a smartwatch user"
"C-first-third-second-bb67c61a-baac-4c73-a8b0-2f28d8aad310","C","first-third-second","Yes","Yes","20","40","2021-04-11-17:54:23","9:30","30","2021-04-11-18:05:25","6:38","10","2021-04-11-18:07:12","3:29","60","2021-04-11-18:08:04","4","4","4","4","5","2","2","5","5","1","4","4","2","4","Female","35–44","Yes, I am currently a smartwatch user"
